PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_ALABAMA,ALABAMA,1992,,2678885.0,304177.0,1659028.0,715680.0,2653798.0,1481703.0,735036.0,,174053.0,208.0,252.0,207.0,
1992_ALASKA,ALASKA,1992,,1049591.0,106780.0,720711.0,222100.0,972488.0,498362.0,350902.0,,37451.0,,,,
1992_ARIZONA,ARIZONA,1992,,3258079.0,297888.0,1369815.0,1590376.0,3401580.0,1435908.0,1007732.0,,609114.0,215.0,265.0,209.0,
1992_ARKANSAS,ARKANSAS,1992,,1711959.0,178571.0,958785.0,574603.0,1743022.0,964323.0,483488.0,,145212.0,210.0,256.0,211.0,
1992_CALIFORNIA,CALIFORNIA,1992,,26260025.0,2072470.0,16546514.0,7641041.0,27138832.0,14358922.0,8520926.0,,2044688.0,208.0,261.0,202.0,
1992_COLORADO,COLORADO,1992,,3185173.0,163253.0,1307986.0,1713934.0,3264826.0,1642466.0,1035970.0,,364760.0,221.0,272.0,217.0,
1992_CONNECTICUT,CONNECTICUT,1992,,3834302.0,143542.0,1342539.0,2348221.0,3721338.0,2148041.0,1142600.0,,48542.0,227.0,274.0,222.0,
1992_DELAWARE,DELAWARE,1992,,645233.0,45945.0,420942.0,178346.0,638784.0,372722.0,194915.0,,30595.0,218.0,263.0,213.0,
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,,709480.0,64749.0,0.0,644731.0,742893.0,329160.0,316679.0,,47272.0,193.0,235.0,188.0,
1992_FLORIDA,FLORIDA,1992,,11506299.0,788420.0,5683949.0,5033930.0,11305642.0,5166374.0,3410440.0,,1667826.0,214.0,260.0,208.0,
1992_GEORGIA,GEORGIA,1992,,5536901.0,398701.0,2798674.0,2339526.0,5535942.0,3043984.0,1559059.0,,526644.0,216.0,259.0,212.0,
1992_HAWAII,HAWAII,1992,,996809.0,71273.0,903443.0,22093.0,1040121.0,536115.0,291376.0,,126212.0,214.0,257.0,203.0,
1992_IDAHO,IDAHO,1992,,859329.0,69138.0,531912.0,258279.0,886161.0,473505.0,246320.0,,111353.0,222.0,275.0,219.0,
