,0,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs
0,PRIMARY_KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,STATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ENROLL,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
4,TOTAL_REVENUE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
5,FEDERAL_REVENUE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
6,STATE_REVENUE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
7,LOCAL_REVENUE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
8,TOTAL_EXPENDITURE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
9,INSTRUCTION_EXPENDITURE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
10,SUPPORT_SERVICES_EXPENDITURE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
11,OTHER_EXPENDITURE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
12,CAPITAL_OUTLAY_EXPENDITURE,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,53,0
13,A_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
14,G01_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
15,G02_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
16,G03_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
17,G04_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
18,G05_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
19,G06_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
20,G07_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
21,G08_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
22,G09_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
23,G10_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
24,G11_A_A,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
